Scenario ID,Interview Phase,Timestamp,Scenario Summary,Scenario,Current Solution (if any),Desired Solution (if any)
P2-6,Interview 1,29:33,check clothes,P2 wanted to check their outfits' colors.,P2 used Seeing AI color recognition channels.,
P2-7,Interview 1,35:20,reading short text,P2 wanted to read product labels or mail address (short text).,"P2 used Seeing AI short text channel to read. P2 notes that while Seeing AI gives errors when they read long documents, it's fine for these shorter tasks.",
P2-8,Interview 1,36:44,use function keys on laptop,,P2 uses braille stickers on their function keys so that they do not have to count each one.,
P2-9,Interview 1,39:42,find information online,P2 wants to quickly search for information about specific products.,"P2 uses Alexa to search on Google. But, they worry about the privacy issues with Alexa as it is always listening. They note that when Alexa asks to associate their voice to a name, they always decline.",
P2-10,Interview 1,"45:11, 49:43",purchase an accessible TV,"P2 wanted an accessible TV that can speak when they change channels or increase volumes, so that they can watch TV independently. But they also wanted the device to work for all of their family members.",,"P2 wanted the TV to work for sighted people too. There should be an easy way to turn the accessibility features on and off, with a single button. So that when their family members use the TV they won't be bothered by the voice."
P2-11,Interview 1,57:38,cooking,P2 wants to cook a meal for themselves.,"P2 has many cans of food and they need to locate specific ingredients. They used Seeing AI to find the cans. Then, they wanted to get the recipe so they asked Alexa to get the recipe, and Alexa read out the recipe to them.",It would be great if there are smoother ways to switch between apps.
P2-12,Interview 1,1:14:28,read prescriptions,P2 wanted to read their prescriptions.,"CVS has an app, Spoken RX, that tags in their prescriptions. P2 use the app to read out the prescriptions.",
P2-13,Interview 2,2:11,read charts and graphs,P2 wants to read charts but they are often not accessible. This has affected adversely their own education and the qualifications that they could obtain.,,"Sonification could be used. For example if there is a line that goes higher up in the graph, there will be an increased pitch. If a cursor is touching that line, it could also read out the underlying data. The system could also read out color information or use sound to show that. "
P2-14,Interview 2,10:04,represent self on social media with an avatar,"P2 want to create and customize avatars and profile photos, and upload them to social media websites.",,Accessible image editing software and better AI-generated image descriptions could help.
P2-15,Interview 2,19:05,use VR/AR,,,"P2 thinks VR could be involved more in higher education.  For example, if someone in a wheelchair wants to attend a meeting or workshop, it's inconvenient for them to physically move around. If VR based remote working environment is possible, people with disabilities would benefit and can get more training."
P2-16,Interview 2,25:47,use team collaboration tools,"When P2 is working they need to use Asana. It's a visual tool, has no keyboard navigation, and doesn't work with screen readers. What they can do at best is to read only the data that has been entered, but they have no way to do any kind of data entry. Disabling keyboard navigation also prevents people with motor disability from using the software. Similar things happened to WebEx. In contrast, Zoom is very accessible.",,
P3-1,Interview 1,4:05,skim printed text,P3 wants to skim printed text to determine if it is important and if they should read it further.,"P3 uses Seeing AI, and similar mobile OCR apps on Android. P3 tends to not rely on these apps though for excessively important tasks. If they wanted to read it further, they might switch over to Be My Eyes or Aira.",
P3-2,Interview 1,4:05,identify currency,,"P3 uses Seeing AI, and similar mobile OCR apps on Android.",
P3-3,Interview 1,4:05,read text in a mobile screenshot,,"P3 uses Seeing AI, and similar mobile OCR apps on Android.",
P3-4,Interview 1,11:16,operate a microwave,P3 wanted to read the timer or button text on a microwave.,"P3 tried using Seeing AI, but it did not work (it was not recognizing the text), so they resorted to using Aira.",
P3-5,Interview 1,17:17,navigate college campus with winding paths,,"P3 is still working on forming a workflow. They have tried Soundscape and Blind Square, but both of these rely on Open Street Maps data which is not complete on their campus. Google Maps doesn't have the same accessibility features, for example, reading out different points of interest. P3 tried to use the marker feature in Soundscape to mark the location of their dorm, but found that it did not do a good job directing them back to that point.",It's easy to lose directions on winding paths. So a tactile compass plus cardinal directions are useful.
P3-6,Interview 1,23:08,get food from the dining hall,"P3's dining hall had 24/7 service. Once in the middle of the night, P3 decided to get some snacks. Instead of looking for a specific item they were just looking around. There were no humans around to assist.","P3 used AIRA instead of Be My Eyes. BME might be a bit tricky in terms of trying to scan the entirety of that semi-large space, which is not very efficient. AIRA's agents are trained so they are more reliable.",
P3-7,Interview 1,27:07,use Microsoft Word,"P3 uses Microsoft Office, like Word with an accessible document, or browsing web page on Microsoft Edge.",P3 uses Be My Eyes' Microsoft specialists to ask for help,
P3-8,Interview 1,"28:16, 30:33",navigate an inaccessible website,P3 was attending a virtual career fair. And the platform was inaccessible. P3 didn't have too much time to troubleshoot accessibility issues.,P3 called Be My Eyes,
P3-9,Interview 1,30:33,navigate around campus,,"P3 tried to label a few points of interests. P3 might use Be My Eyes to plan out a route to get from one place to the other on campus, just just like describing map data from Google Maps.",
P3-10,Interview 1,30:33,use dorm laundry machines,,P3 tried to label a few machines with tactile stickers. OCR apps would read out all buttons on machines at once and P3 can't seperate them.,
P3-10,Interview 1,31:26,read mail,,P3 used Be My Eyes.,
P3-11,Interview 1,31:26,read numbers on covid test kit,,P3 used Be My Eyes. P3 didn't use OCR because inaccurate numbers would prevent them from activating the kit.,Human assistance is not ideal for privacy reasons.
P3-12,Interview 1,39:43,sort clothes,P3 wanted to sort their clothes.,P3 video called their family members,"An AI system could differentiate between a bunch of different clothes (e.g. sort based on color, or type outdoor/ indoor/ formal/ leisure). First, they could display the clothes to the system, then add their own label to the clothing. Later you could display an item to the system, and the system could tell which type of clothing you're holding."
P3-13,Interview 1,44:40,prepare resume,,"The process requires formatting a lot so P3 asked help from other people (friends, family)","It's hard to make this accessible. Even though they can get a sense of the styling applied to different parts of the text, they can't get a sense of the overall layout."
P3-14,Interview 2,00:53,have Zoom meetings,"P3 wants to ensure other people can properly see them in conferences, meetings, family calls, and work interviews. They want to center themselves and ensure their head is not too small or leaving the frame.",P3 asks someone for help before the call,An extension to Zoom or other video conferencing applications with a camera that can detect the face of users and instruct users to move their position to the center.
P3-15,Interview 2,05:23,use function keys on keyboard,"When a screen reader user is exploring a new keyboard, the ideal way is to enter ""input help mode"" for your screen reader, and press around and your screen reader will simply announced the request without performing any action. However, this mode tends to not support secondary actions on function keys. So f1 might lower
volume, increase brightness, or mute something. It is helpful to be able to know what the function of that is.","P3 used AIRA. P3 using phone's camera to show the top row
of their new Bluetooth keyboards. And AIRA were able to describe the icons on them, based on which P3 guessed what visual icon might suggest.",Seeing AI should be able to read out keys or other buttons logically.
P3-16,Interview 2,10:54,outdoor navigation,,,"Have a camera on smart glasses, or a camera on another wearable device. Use AI to simulate how a guide dog would work. For example, P3 enter a new space, and they want to find the nearest stairs. Camera then scans, detect the stairs, and give out instructions on how to approach that stairs."
P3-17,Interview 2,35:38,multi-task with white cane,"P3 has to sometimes navigate with their cane, hold something in their hand, and get their key to unlock their door.",,"If a cane could have a temporary state where it could somehow be used hands-free, that would be helpful. For example, the cane could be able to be propped up on its own temporarily with some hardware on the bottom."
P4-1,Interview 1,6:02,understand surroundings,"P4 wants to have a mental image of the things that are around them. For example, there is a closet to the right side and there's a table on the left.",P4 used Seeing AI.,
P4-2,Interview 1,16:55,organize bookshelf,"P4 wanted to organize their bookshelf and find sections for fiction, sci-fi, nonfiction, etc.","P4 drew simple shapes and colored them. P4 created stickers and used them as labels, putting them on different sections. P4 used Seeing AI to scan their surroundings and find shapes (e.g., label a circle for non-fiction section of bookshelf. If Seeing AI finds a ""circle"", they know it's the non-fiction section).",Use a 3d printer to print out shapes so that P4 can touch and feel the labels.
P4-3,Interview 1,21:19,navigate outdoors,"P4 wanted to walk around the backyard in the vicinity of their house, which didn't have a main road. P4 was trying to navigate through the footpath which did not have a lot of obstacles, but then they were unaware of any new lampposts or perhaps any new obstacle in the middle. 
P4 found that was a bit of a struggle, because they always move the phone around in a way where it felt like they were capturing someone's picture. People passing by got a little conscious.","Currently Seeing AI can’t tell proximity information. 
When aiming camera straight, Seeing AI can’t tell what’s on the ground (e.g. object on the floor), but can only tell what’s in front of the user.",
P4-4,Interview 1,03:52,assemble Ikea furniture,"P4 needs to fix an IKEA table. P4 needed to find tools. They only remembered it's on a surface, but can't remember the exact location.","P4 used Be My Eyes. Volunteers can give a lot of recommendation in terms of how to fix a problem. For example, they weren't sure how to screw the bolt. Volunteers gave very handy tips on like to safely finish the task. Volunteers also notified them of sharp items at the edge of the bed.",
P4-5,Interview 1,04:37,find/ organize food,P4 wanted to know what in their fridge is close to expire or perish.,P4 used Be My Eyes.,
P4-6,Interview 1,8:00,find outfits,P4 wants to get recommendations for their outfits.,P4 used Be My Eyes to get a human opinion.,
P4-7,Interview 1,10:52,solve a Rubik's Cube,P4 was trying to solve a Rubik's Cube,"P4 tried Seeing AI, but it wasn't very helpful to really understand what tiles they were touching. It gave color information without context. P4 used Be My Eyes instead.",
P4-8,Interview 1,10:52,Read text,P4 wants to only read out headings / bold / highlighted text inside a paragraph.,P4 used BME.,
P4-9,Interview 1,14:03,Identify money,,P4 used Tap Tap See.,
P4-10,Interview 1,00:23,cleaning and locating items,"P4 dropped some milk on the table/ floor without noticing it. Meanwhile, P4 is trying to find clothes.",P4 used Be My Eyes and unexpectedly the volunteer notified P4 of the spilled milk.,
P4-11,Interview 1,16:57,emergency situations,P4 heard odd noises.,"Be My Eyes volunteers told them there was some broken glass so they knew what happened, and helped them navigate in the room.",
P4-12,Interview 1,25:57,find expiration dates,,,Human help is preferred
P4-13,Interview 1,25:57,know color of clothes,,"Sometimes uses Seeing AI, but they always check the item under different lighting conditions to make sure.
",Human help is preferred because lighting and materials would influence AI's capabilities.
P4-14,Interview 1,30:28,browse online,"P4 sometimes shops online, but describes Amazon as confusing as there is a lot of buttons and they often end up on the wrong page.",,P4 can use voice command or finger gestures to open Amazon and browse products.
P4-15,Interview 1,36:29,understand space,"P4 wants to understand how their house looks every day. They want to know whether any layout or major things have changed, like if they put their laptop on the bed instead of the desk yesterday).",,Have one 360 degree camera that can map things around them. P4 can also know how far are things from where the camera was positioned. The map can also provide guidance on how they can walk through the house.
P4-16,Interview 2,09:47,synchronization between different devices,"P4 wants to use Google Home (which can be voice controlled) to connect with phones and send emails, messages, etc.",,
P4-17,Interview 2,13:58,outdoor navigation,P4 wants to avoid obstacles when walking outside.,P4 tried a service dog and found it very efficient. P4 can walk confidently and indepently. Dogs are also good buddy and companion.,
P4-18,Interview 2,22:10,understand space,,P4 used Seeing AI object recognition for the first time to get an idea of how their home looks like and find out misaligned objects.,
P4-19,Interview 2,26:12,understand space,,,P4 hoped wearable device can combine with Seeing AI to improve efficiency (e.g. glasses can replace phone camera)
P4-20,Interview 2,32:32,navigate stairs,"P4 would encounter slopes or staircases, which is dangerous and they might fall from the stairs.",,"Near the stairs, the ground could have different or irregular surface. This can warn blind people of incoming stairs."
P5-1,Interview 1,06:56,Read meme,,P5 put them into KNFB Reader to know the words in memes. Then they ask their friends to describe the pictures.,Some technologies can have auto generated image description.
P5-2,Interview 1,06:56,Read documents,,P5 use KNFB Reader,
P5-3,Interview 1,10:27,Read kiosk,"P5 wanted to use an ATM at a train station. Normally the ATM itself can speak, but on that day it was broken.","P5 knew the screen they needed, so they used KNFB Reader to describe the screens to find the one they were looking for.",
P5-4,Interview 1,09:12,Read pop-ups,P5 wants to read the pop-ups on their computer.,P5 uses KNFB Reader,
P5-5,Interview 1,11:21,Read a piece of text,P5 wants to know / keep a piece of text.,"When P5 was in class, they used KNFB Reader to take pictures of their friend's book. It's very convinent and easy for on-the-go text scan. They also used KNFB Reader in library that they take a picture of a journal.",
P5-6,Interview 1,14:42,Read hand-writing notes,P5 wants to read hand-writing notes.,,Let SA or KNFB Reader to have more accurate hand-writing detection.
P5-7,Interview 1,16:04,Read food label,P5 is vegan and they wants to know the text on a food can. Seeing AI can't read all text accurately. It can't differentiate commas or parentheses. All text would be squeezed together. KNFB also can't do this well.,Seeing AI can't read all text accurately. It can't differentiate commas or parentheses. All text would be squeezed together. KNFB also can't do well. P5 went to Instacart to read the ingredients there.,
P5-8,Interview 1,20:37,Shopping,P5 went to a store and wanted to find a worker to help them.,P5 used AIRA.,
P5-9,Interview 1,20:37,Set up car seat,P5 wanted to set up a car seat.,P5 used AIRA.,"The activity of following instructions (e.g. set up car seat, cooking,) we could have a system to find instructions for us. Users can directly search for instructions and be instructed step by step. There could also be a ""scan"" option that you can switch over to camera view to find the item you need. "
P5-10,Interview 1,20:37,Cross the street,P5 wanted to cross the street when it was very windy and they couldn't hear the incoming cars.,P5 used AIRA.,
P5-11,Interview 1,25:53,Indoor navigation,P5 was at a mall and there was a time crunch they didn't have the ability to explore the mall.,P5 called AIRA. The agets took them to a mall map and found where they was. They quickly found the way P5 needed.,"Some automated, integrated system is possible, combined with the mall map.

If P5 wants to find a garbage can, they could be given solid directions with speech or vibration like those in Google Maps or Apple Maps. The system also have scanned along features, so that P5 could see what they were passing as they go. It would also have some options to detect “where I'm standing and what angle”"
P5-12,Interview 1,27:59,Navigating outdoors at night,"Sometimes the environment is dark, or P5 needs to hold the hand of their child / cane.",,Sometimes P5 don't want to have their phone out and it would be great to have glasses.
P5-13,Interview 1,30:42,Take public transportation,"P5 went to Virginia, where the buses didn't speak.","P5 used Move It (app) which notified them of every stop. 
To avoid connection route planning issue, they first use google maps to get the routes, and then use Move It to take the transportation.",Move It could have better route planning and better intermediate notification.
P5-14,Interview 1,35:12,Navigate to places nearby,P5 went to a guitar store and wanted to find food places nearby.,P5 used Blind Square that can give clockwise direction.,
P5-15,Interview 1,35:12,In a vehicle,,"When P5  was getting close to destination, BS told them what they were passing, which can help them get their bearings on where they were.",BS's own voiceover often crashed with iphone's voiceover.
P5-16,Interview 1,43:10,Indoor navigation,"Before riding a uber, P5 wanted to know the incoming car's license plate.",,
P5-17,Interview 1,48:19,Make cookie,,,"P5 don't want to read the back of the container. They could directly search the name, have the list of instructions come up step by step. 
One steps is to crack two eggs and beat them. There could be a scan button
to say ""need help finding eggs"" and another button of ""complete. I don't need help. "" When you turn on scan, it would open up that camera to help you find what you need."
P5-18,Interview 1,49:39,Spice rack,,,"Let each product has a QR code or barcode so that scanning them would connect to a database. Searching inside the database would enable people to know the information they need.
P5 could create a tag of ""turkey seasoning"" and put 10 seasoning into the tag group. They can then scan their shelf, and it the camera find one of the seasoning, the phone beep to notify P5 to get the seasoning.
In stores, scanning items to help users to find things on their shopping list."
P5-19,Interview 1,58:08,Shopping,P5 went shopping in a store and wanted to know the price and size of clothes.,,"Let SA have a new ""tag reader"" channel."
P5-20,Interview 2,03:44,Set up FireStick,"P5 set up an iPad the other day, and love that they're able to use the same shortcut that they're accustomed to for voice over. P5 wish there were something like that for other electronics that they need to set up, like the Amazon fire stick.",,"When p5 were setting the iPad up, they just press the home button three times, then voiceover came on. When they're setting up the fire stick, it would be preferable if there was some sort of description earlier on of how they could turn on voiceover on fire stick."
P5-21,Interview 2,06:24,Use toaster,"P5 tried to use camera to zoom in on the toaster to read the settings, but since it’s much older, they couldn’t do that because it was so small and was in an awkward places. P5 wish there was more available AT that could help with the use of in-home appliances for blind individuals.",,"P5 could use phone to scan the barcode and connect to the device, and then control everything on phone.

But it's also important to know the screen of those device. They wanted to know the layout of buttons. For example, they might still need to press some buttons. If there're 8 buttons in 2 row (4 in each row) and some screen readers give out 8 buttons' text all in once, they can't know how to press the button.

The system can also support explore mode. They can combine with finger detection to tell the users which button they're on."
P5-22,Interview 2,16:06,Ride uber,"Before riding a uber, it's hard to tell where's the car. P5 wish there were an option builted to the app or into another app that would notify them of where the car is and how close they're getting to it. This is helpful in public.",,Have a license plate reader.
P6-1,Interview 1,17:15,Read labels,"P6 wants to check what food/ liquid /medication they have in the refrigerator, or to differentiate shampoo and conditioner",P6 used Seeing AI,After scanning a barcode they could be directed to a website with more information
P6-2,Interview 1,17:15,Read screens,"P6 wants to read computer screen when screen reader cannot work normally, or to read what’s highlighted, to read what’s checked in a form.",P6 used Seeing AI,
P6-3,Interview 1,24:07,Read forms,"P6 scaned a document with lots of columns, but it’s hard for Seeing AI to pull out the information they specifically want.",,
P6-4,Interview 1,24:07,Multiple languages,Seeing AI document channel cant work well when a doc has multiple languages on one page.,,
P6-5,Interview 1,28:22,Fill out a form,P6 wants an app to detect checkboxes on a screen or in a form.,,
P6-6,Interview 1,34:58,Open space navigation,"On a college campus or a music festival, the space is very open. P6 want to be able to walk around. They want to mark places like bathrooms or stages in musical festivals, and they want to customizedly name them.",,
P6-7,Interview 1,48:23,Indoor navigation,P6 and their friend want to go through an airport without a sighted help.,P6 used Be My Eyes. Agents would pull up a map or have them to move the camera around to know where they were. BME can guide them to safely walk through Starbucks and let them stop by security checkpoint.,"Human service is more helpful than AI on tasks that are more complicated. But simple tasks like going through airports or buildings could be handled better with AI.
There could be a system where direction information can be shown in forms of different fluorescent lightning. Airport can cooperate with AIRA so that AIRA agents can understand the meaning of lightning and thus guide people. AIRA's agents are trained so they can do better than  BME's volunteers. "
P6-8,Interview 1,55:46,Health device,P6 wants to track their blood sugar level.,"There is a FDA approved patches for reading people's blood sugar. It's connected with their smartphones and can track blood sugar level in real time, so that users can plan their diet accordingly.",
P6-9,Interview 1,56:46,Fitness equipment,"P6 wants to use fitness equipment, but there's not many accessible fitness equipment with touch screens. There ought to be a standard interface that the equipments can talk to users, telling them information like calories burnt, miles run, etc.","P6 asked people around them for information they needed becasue they don't have time to hold the phone and scan the screen. 
There is also a company that have their rowing machine accessible by having a connected phone app to speak out information.
P6 also used an app called Interval Timer. If they're on a elliptical or whatever and wanted to know during a 30 minute workout, when to speed up or slow down, the app can speaks with VoiceOver.",P6 wants more smart device or assistive technologies related with health monitoring and fitness.
